"resource","country","cluster","cluster_rank","tier","location","gw"
"onwind","IT",3,37,1,154,2.584
"onwind","IT",40,38,1,155,2.211
"onwind","IT",42,39,1,156,2.832
"onwind","IT",38,40,1,157,2.937
"onwind","IT",39,41,1,158,3.522
"onwind","IT",45,42,1,159,2.107
"onwind","IT",16,43,1,160,2.02
"onwind","IT",37,44,1,161,3.308
"onwind","IT",50,45,1,162,3.811
"onwind","IT",43,46,1,163,4.584
"onwind","IT",46,47,1,164,1.71
"onwind","IT",21,48,1,165,2.739
"onwind","IT",44,49,1,166,1.448
"onwind","IT",48,50,1,167,1.051
"onwind","LT",1,1,4,1,0.393
"onwind","LT",1,1,3,2,19.922
"onwind","LT",1,1,2,3,83.124
"onwind","LT",1,1,1,4,22.208
"onwind","LU",1,1,3,1,0.044
"onwind","LU",1,1,2,2,0.709
"onwind","LU",1,1,1,3,1.27
